Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,gene_set,cell_type,effect_class,direction,n_input_genes
GO_Biological_Process_2023,Antimicrobial Humoral Response (GO:0019730),1/100,0.4825231566060633,0.572907287710739,0,0,1.5361305361305362,1.119418823893266,WFDC3,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Regulation Of Organelle Organization (GO:0033043),1/100,0.4825231566060633,0.572907287710739,0,0,1.5361305361305362,1.119418823893266,USP6NL,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Visual Perception (GO:0007601),1/101,0.4859296547793063,0.5761021680373218,0,0,1.5206923076923078,1.0974705739056227,EYS,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Calcium Ion Homeostasis (GO:0055074),1/102,0.4893138983023021,0.5784107021047771,0,0,1.5055597867479056,1.0761004785095143,NPTN,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Protein Catabolic Process (GO:0030163),1/102,0.4893138983023021,0.5784107021047771,0,0,1.5055597867479056,1.0761004785095143,MANBA,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Inorganic Cation Import Across Plasma Membrane (GO:0098659),1/103,0.4926760314088612,0.5815310927919843,0,0,1.4907239819004523,1.0552886617859485,SLC9A7,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Inflammatory Response (GO:0050729),1/104,0.496016197552214,0.5829095460285143,0,0,1.4761762509335326,1.0350161016980663,IL15,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Vasculature Development (GO:1904018),1/104,0.496016197552214,0.5829095460285143,0,0,1.4761762509335326,1.0350161016980663,ITGB1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Macroautophagy (GO:0016236),1/104,0.496016197552214,0.5829095460285143,0,0,1.4761762509335326,1.0350161016980663,STAM,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway (GO:0097193),1/105,0.4993345391220597,0.5859537959085395,0,0,1.4619082840236686,1.0152645867761303,PPP1R15A,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Response To Calcium Ion (GO:0051592),1/106,0.5026311976365985,0.5881077239788688,0,0,1.447912087912088,0.9960166740217916,IQGAP1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Cell Growth (GO:0030307),1/106,0.5026311976365985,0.5881077239788688,0,0,1.447912087912088,0.9960166740217916,TEAD1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Regulation Of Cellular Response To Stress (GO:0080135),1/107,0.5059063136278865,0.5893698733291587,0,0,1.434179970972424,0.97725565022304,ALOX5,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Negative Regulation Of Translation (GO:0017148),1/107,0.5059063136278865,0.5893698733291587,0,0,1.434179970972424,0.97725565022304,ENC1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of T Cell Activation (GO:0050870),1/107,0.5059063136278865,0.5893698733291587,0,0,1.434179970972424,0.97725565022304,IL15,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Response To Tumor Necrosis Factor (GO:0034612),1/108,0.5091600269245884,0.5908044070096359,0,0,1.420704529115744,0.9589654944443032,CCL4,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
