names,scores,logfoldchanges,pvals,pvals_adj,cell_type,comparison
AC022816.2,35.658337,-0.63115466,1.750023482733382e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
FBN2,35.65827,-0.0056410674,1.7540066870224556e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
MMP25,35.65808,-0.053262666,1.7660107362025048e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
PTPRF,35.657955,0.6924559,1.774059005701051e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
CCNJL,35.657955,0.067224346,1.774059005701051e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
RP11-856F16.2,35.657955,-0.18597426,1.774059005701051e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
DUSP15,35.657955,,1.774059005701051e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
TLR3,35.657955,0.13015497,1.774059005701051e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
BAMBI,35.625336,,5.678908645806859e-278,6.428953183932293e-277,B_cell,PSNP_40nm_vs_control
SMARCA1,35.62489,,5.769923272747412e-278,6.50743226249708e-277,B_cell,PSNP_40nm_vs_control
KCNK13,35.624443,-2.5478053,5.862395406232868e-278,6.530725740547287e-277,B_cell,PSNP_40nm_vs_control
C7orf63,35.623997,1.1926495,5.956348368061628e-278,6.530725740547287e-277,B_cell,PSNP_40nm_vs_control
LA16c-444G7.1,35.623997,-1.6981927,5.956348368061628e-278,6.530725740547287e-277,B_cell,PSNP_40nm_vs_control
HOXB7,35.623936,-0.27965528,5.969892480606883e-278,6.530725740547287e-277,B_cell,PSNP_40nm_vs_control
SLC8A1,35.62368,0.2166002,6.024377366510884e-278,6.530725740547287e-277,B_cell,PSNP_40nm_vs_control
IL26,35.62355,0.29885775,6.051805852907152e-278,6.530725740547287e-277,B_cell,PSNP_40nm_vs_control
CTD-2349P21.5,35.62355,0.66400737,6.051805852907152e-278,6.530725740547287e-277,B_cell,PSNP_40nm_vs_control
CTC-340A15.2,35.62355,1.1761315,6.051805852907152e-278,6.530725740547287e-277,B_cell,PSNP_40nm_vs_control
STON2,35.62355,0.048627052,6.051805852907152e-278,6.530725740547287e-277,B_cell,PSNP_40nm_vs_control
RP11-778J15.1,35.62355,3.1835558,6.051805852907152e-278,6.530725740547287e-277,B_cell,PSNP_40nm_vs_control
ARHGAP19-SLIT1,35.62355,1.9559455,6.051805852907152e-278,6.530725740547287e-277,B_cell,PSNP_40nm_vs_control
PLEKHH2,35.62355,0.112940215,6.051805852907152e-278,6.530725740547287e-277,B_cell,PSNP_40nm_vs_control
RP11-461O7.1,35.59074,,1.948279935144885e-277,1.916340919814641e-276,B_cell,PSNP_40nm_vs_control
VAT1L,35.590298,,1.97947407776631e-277,1.9305611711857476e-276,B_cell,PSNP_40nm_vs_control
MICALCL,35.590298,-1.0947107,1.97947407776631e-277,1.9305611711857476e-276,B_cell,PSNP_40nm_vs_control
SCNN1B,35.590168,2.4700446,1.98847800632132e-277,1.9305611711857476e-276,B_cell,PSNP_40nm_vs_control
ZNF223.1,35.590168,,1.98847800632132e-277,1.9305611711857476e-276,B_cell,PSNP_40nm_vs_control
CCR1,35.589912,-0.7472102,2.006608819143983e-277,1.9418795023974028e-276,B_cell,PSNP_40nm_vs_control
PPARG,35.58966,0.116494544,2.0249048161442934e-277,1.9470238616772054e-276,B_cell,PSNP_40nm_vs_control
PPP1R26-AS1,35.58966,0.3391868,2.0249048161442934e-277,1.9470238616772054e-276,B_cell,PSNP_40nm_vs_control
RGMA,35.58953,-0.1414788,2.0341152280974093e-277,1.9496312090390502e-276,B_cell,PSNP_40nm_vs_control
LPHN2,35.589405,0.86741793,2.043367501063638e-277,1.951418035952859e-276,B_cell,PSNP_40nm_vs_control
CCR10,35.58915,1.1253532,2.0619983913235208e-277,1.951418035952859e-276,B_cell,PSNP_40nm_vs_control
