gene,scores,logfc,pval,padj,azimuth_cell_type,azimuth_cell_type_key,pct_in_group,pct_out_group,specificity
SYTL2,16.689007,0.77415574,1.5756898820026662e-62,3.232184373338802e-61,CD8 T,CD8_T,0.3840257550206959,0.28511604439959637,0.09890971062109954
MXD4,16.201302,0.73561794,4.937118795582164e-59,9.547426757637635e-58,CD8 T,CD8_T,0.3897746435689099,0.31851664984863776,0.07125799372027214
GNLY,16.201256,1.065615,4.940793347077476e-59,9.547426757637635e-58,CD8 T,CD8_T,0.27334048750574885,0.16089808274470233,0.11244240476104653
AC092580.4,16.171965,1.0059268,7.952263848330259e-59,1.5292815092942805e-57,CD8 T,CD8_T,0.2675915989575348,0.165539858728557,0.10205174022897781
GIMAP7,16.08317,0.6713443,3.3480389153195974e-58,6.377216981561138e-57,CD8 T,CD8_T,0.823624099340794,0.6991422805247226,0.12448181881607134
ITGAL,15.887976,0.67644566,7.676734960504851e-57,1.4349037309354861e-55,CD8 T,CD8_T,0.4019622872911237,0.3284056508577195,0.07355663643340421
PPP2R2B,15.831568,1.1698159,1.8846532117981364e-56,3.506331556833742e-55,CD8 T,CD8_T,0.2321784455005365,0.13657921291624622,0.09559923258429029
CBLB,15.709282,0.42585984,1.306495904748494e-55,2.3754470995427165e-54,CD8 T,CD8_T,0.7026674842863712,0.64803229061554,0.05463519367083114
NFATC2,15.620363,0.58756155,5.2903483649809284e-55,9.532159216181852e-54,CD8 T,CD8_T,0.4485666104553119,0.3863773965691222,0.0621892138861897
RP11-277P12.20,15.616117,2.1204457,5.6546262465877505e-55,1.0142827348139463e-53,CD8 T,CD8_T,0.1402728805764219,0.03900100908173562,0.10127187149468628
SCML4,15.526941,0.7739285,2.2799989991353272e-54,4.017619381736259e-53,CD8 T,CD8_T,0.3356584393683887,0.2405146316851665,0.09514380768322217
MBD5,15.511835,0.562914,2.8851240968211203e-54,5.039518073049991e-53,CD8 T,CD8_T,0.4816802084930246,0.417003027245207,0.06467718124781763
LYAR,15.255692,0.8259709,1.5088691608933183e-52,2.5574053574463024e-51,CD8 T,CD8_T,0.3205580254484133,0.23985872855701312,0.08069929689140015
RNF125,15.201499,0.59154236,3.4562015839150116e-52,5.7844377973473e-51,CD8 T,CD8_T,0.46297715774950166,0.3814833501513623,0.08149380759813935
CAMK4,15.066256,0.5945669,2.699862312135125e-51,4.354616632476008e-50,CD8 T,CD8_T,0.7642955695232254,0.6648335015136227,0.09946206800960267
NRCAM,15.047801,3.0507357,3.5690406179807825e-51,5.710464988769252e-50,CD8 T,CD8_T,0.11781388931473247,0.021140262361251265,0.0966736269534812
PRR5L,14.999435,1.3496106,7.404687501700849e-51,1.170701581296577e-49,CD8 T,CD8_T,0.19040318871684803,0.09692230070635724,0.09348088801049079
RPS3A,14.972065,0.33520886,1.1179477386878048e-50,1.746793341699695e-49,CD8 T,CD8_T,0.985282845316572,0.9629667003027247,0.022316145013847266
APOBEC3G,14.856935,0.8069284,6.273025144432101e-50,9.650807914510924e-49,CD8 T,CD8_T,0.3145791813582707,0.23779011099899094,0.07678907035927973
CD52,14.841823,0.48300362,7.859161999620511e-50,1.2044692719724921e-48,CD8 T,CD8_T,0.6474015023762072,0.5712411705348135,0.0761603318413937
F2R,14.707897,1.1839634,5.736216077795395e-49,8.561516534022978e-48,CD8 T,CD8_T,0.2081097654453472,0.11745711402623613,0.09065265141911108
AKT3,14.583796,0.3409573,3.561526382573865e-48,5.237538797902742e-47,CD8 T,CD8_T,0.6598191016403494,0.6293642785065592,0.03045482313379022
SUPT3H,14.582811,0.7392219,3.6132388333515055e-48,5.294122832749458e-47,CD8 T,CD8_T,0.33519852828453156,0.26034308779011106,0.0748554404944205
SLA,14.502871,0.65976816,1.1618778114084903e-47,1.6838808860992613e-46,CD8 T,CD8_T,0.372834585313506,0.30110998990918264,0.07172459540432335
CDK17,14.3869915,0.34813654,6.245371258791743e-47,8.890208197568317e-46,CD8 T,CD8_T,0.66610455311973,0.632593340060545,0.03351121305918503
SLA2,14.327929,1.0668433,1.4642241630883512e-46,2.0695747888174578e-45,CD8 T,CD8_T,0.2173079871224896,0.1267406659939455,0.0905673211285441
LINC00861,14.290228,0.61734,2.5178289521476084e-46,3.521439093912739e-45,CD8 T,CD8_T,0.40679135367162345,0.31786074672048437,0.08893060695113908
CTB-4E7.1,14.204149,0.6425637,8.634447327301089e-46,1.1909582520415296e-44,CD8 T,CD8_T,0.37720374061014866,0.29228052472250254,0.08492321588764612
OASL,14.18795,1.7337205,1.0879230189561842e-45,1.4944647515294255e-44,CD8 T,CD8_T,0.14816802084930245,0.05817356205852674,0.08999445879077571
